run,bioproject,biosample,amikacin,ciprofloxacin,capreomycin,cycloserine,ethambutol,ethionamide,isoniazid,kanamycin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,rifampicin,rifabutin,streptomycin,pyrazinamide
SRR1166267,PRJNA234622,SAMN02584653,,,,,,,,,,,,,,,,
SRR1166120,PRJNA234549,SAMN02584588,,,,,,,,,,,,,,,,
SRR1166187,PRJNA234570,SAMN02584608,,,,,,,,,,,,,,,,
ERR2307725,PRJEB24099,SAMEA104600498,,,,,R,,R,,,,,,R,,R,R
ERR2307728,PRJEB24099,SAMEA104600500,,,,,R,,R,,,,,,R,,R,S
ERR2307729,PRJEB24099,SAMEA104600501,,,,,R,,R,,,,,,R,,R,S
ERR2307730,PRJEB24099,SAMEA104600502,,,,,R,,R,,,,,,R,,R,S
ERR2307731,PRJEB24099,SAMEA104600503,,,,,R,,R,,,,,,R,,R,R
ERR2307732,PRJEB24099,SAMEA104600504,,,,,R,,R,,,,,,R,,R,S
ERR2307733,PRJEB24099,SAMEA104600505,,,,,R,,R,,,,,,R,,R,R
ERR2307734,PRJEB24099,SAMEA104600506,,,,,S,,R,,,,,,R,,R,R
ERR2307735,PRJEB24099,SAMEA104600507,,,,,R,,R,,,,,,R,,R,R
ERR2307736,PRJEB24099,SAMEA104600508,,,,,R,,R,,,,,,R,,R,
ERR2307737,PRJEB24099,SAMEA104600509,,,,,R,,R,,,,,,R,,R,R
SRR1173393,PRJNA237405,SAMN02628498,,,,,,,,,,,,,,,,
SRR1172711,PRJNA237406,SAMN02628499,,,,,,,,,,,,,,,,
SRR1173675,PRJNA237407,SAMN02628500,,,,,,,,,,,,,,,,
SRR1173446,PRJNA237408,SAMN02628501,,,,,,,,,,,,,,,,
SRR1173628,PRJNA237409,SAMN02628502,,,,,,,,,,,,,,,,
SRR1173192,PRJNA237411,SAMN02628504,,,,,,,,,,,,,,,,
SRR1173131,PRJNA237412,SAMN02628505,,,,,,,,,,,,,,,,
ERR2307738,PRJEB24099,SAMEA104600150,,,,,,,,,,,,,,,,
ERR2307739,PRJEB24099,SAMEA104600151,,,,,,,,,,,,,,,,
ERR2307740,PRJEB24099,SAMEA104600510,,,,,S,,R,,,,,,R,,R,S
