run,bioproject,study,biosample,sample,experiment,amikacin,bedaquiline,capreomycin,clofazimine,delamanid,ethionamide,ethambutol,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,pyrazinamide,rifampicin,streptomycin
ERR2516837,PRJEB26001,,,ERS2401514,ERX2536052,S,,S,,,,S,R,S,S,,S,,,
ERR2517003,PRJEB26001,,,ERS2401680,ERX2536218,S,,S,,,,,R,S,S,,S,,R,
ERR2516996,PRJEB26001,,,ERS2401673,ERX2536211,S,,S,,,,,R,S,S,,S,,R,
ERR2516757,PRJEB26001,,,ERS2401434,ERX2535972,S,,S,,,,R,R,S,R,,R,,R,
ERR2516906,PRJEB26001,,,ERS2401583,ERX2536121,S,,S,,,,,R,S,S,,S,,R,
ERR2516936,PRJEB26001,,,ERS2401613,ERX2536151,S,,S,,,,,R,S,S,,S,,,
ERR2516864,PRJEB26001,,,ERS2401541,ERX2536079,S,,S,,,,S,R,S,S,,S,,,
ERR2516753,PRJEB26001,,,ERS2401430,ERX2535968,S,,S,,,,S,R,S,S,,S,,R,
ERR2517028,PRJEB26001,,,ERS2401705,ERX2536243,S,,S,,,,S,R,S,S,,S,,R,
ERR2516857,PRJEB26001,,,ERS2401534,ERX2536072,S,,S,,,,,R,S,S,,S,,R,
ERR2517027,PRJEB26001,,,ERS2401704,ERX2536242,S,,S,,,,S,R,S,S,,S,,R,
