run,bioproject,biosample,isoniazid,rifampicin,ethambutol,pyrazinamide,amikacin,capreomycin,kanamycin,moxifloxacin,levofloxacin
ERR7911291,PRJEB48275,SAMEA10029971,R,R,S,S,S,S,S,S,S
ERR7911292,PRJEB48275,SAMEA10029972,R,R,S,S,S,S,S,S,S
ERR7911293,PRJEB48275,SAMEA10029973,R,R,S,S,S,S,S,S,S
ERR7911294,PRJEB48275,SAMEA10029974,R,R,R,S,S,S,S,S,S
ERR7911295,PRJEB48275,SAMEA10029975,R,R,S,R,S,S,S,R,R
ERR7911296,PRJEB48275,SAMEA10029976,R,R,S,R,S,S,S,S,S
ERR7911297,PRJEB48275,SAMEA10029977,R,R,S,S,S,S,S,S,S
ERR7911298,PRJEB48275,SAMEA10029978,R,R,R,R,S,S,S,R,R
ERR7911299,PRJEB48275,SAMEA10029979,R,R,R,R,S,S,S,S,S
ERR7911300,PRJEB48275,SAMEA10029980,R,R,S,R,S,S,S,S,S
ERR7911301,PRJEB48275,SAMEA10029981,R,R,R,R,S,S,S,S,S
ERR7911302,PRJEB48275,SAMEA10029982,R,R,R,R,S,S,S,S,S
ERR7911303,PRJEB48275,SAMEA10029983,R,R,S,R,R,R,R,R,R
ERR7911304,PRJEB48275,SAMEA10029984,R,R,S,R,S,S,S,S,S
ERR7911305,PRJEB48275,SAMEA10029985,R,R,R,R,S,S,S,S,S
ERR7911306,PRJEB48275,SAMEA10029986,R,R,R,R,S,S,S,S,S
ERR7911307,PRJEB48275,SAMEA10029987,R,R,S,S,R,R,R,S,S
ERR7911308,PRJEB48275,SAMEA10029988,R,R,,R,S,S,S,S,R
ERR7911309,PRJEB48275,SAMEA10029989,R,R,S,R,S,S,S,S,S
ERR7911310,PRJEB48275,SAMEA10029990,R,R,S,R,S,S,S,S,S
ERR7911311,PRJEB48275,SAMEA10029991,R,R,S,S,S,S,S,S,S
ERR7911312,PRJEB48275,SAMEA10029992,R,R,S,R,S,S,S,S,S
ERR7911313,PRJEB48275,SAMEA10029993,R,R,R,S,S,S,S,S,S
ERR7911314,PRJEB48275,SAMEA10029994,R,R,S,S,S,S,S,R,R
ERR7911315,PRJEB48275,SAMEA10029995,R,R,R,R,S,S,S,S,S
ERR7911316,PRJEB48275,SAMEA10029996,R,R,R,S,S,S,S,S,S
ERR7911317,PRJEB48275,SAMEA10029997,R,R,R,R,R,R,R,R,R
ERR7911318,PRJEB48275,SAMEA10029998,R,R,R,R,S,S,S,S,S
