run,amikacin,bedaquiline,bioproject,biosample,capreomycin,ciprofloxacin,clofazimine,cycloserine,delamanid,ethambutol,ethionamide,gatifloxacin,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,pyrazinamide,rifabutin,rifampicin,streptomycin,thioacetazone
ERR040101,,,PRJEB2221,SAMEA961599,,,,,,S,,,S,,,,,,,S,,S,,
ERR040102,,,PRJEB2221,SAMEA961600,,,,,,S,,,S,,,,,,,S,,S,,
ERR040103,,,PRJEB2221,SAMEA961601,,,,,,S,,,S,,,,,,,S,,S,,
ERR040104,,,PRJEB2221,SAMEA961602,,,,,,S,,,S,,,,,,,S,,S,,
ERR040105,,,PRJEB2221,SAMEA961603,,S,,,,S,,,R,,,,,,,S,,S,,
ERR040106,,,PRJEB2221,SAMEA961604,,,,,,S,,,S,,,,,,,S,,S,,
ERR040107,,,PRJEB2221,SAMEA961605,,,,,,S,,,S,,,,,,,S,,S,,
ERR040108,,,PRJEB2221,SAMEA961606,,,,,,S,,,S,,,,,,,S,,S,S,
ERR040109,,,PRJEB2221,SAMEA961607,,,,,,S,,,S,,,,,,,S,,S,,
ERR040112,,,PRJEB2424,SAMEA787711,S,,,,,S,S,,S,S,,,,,,S,,S,S,
ERR040114,,,PRJEB2424,SAMEA787709,,,,,,S,,,S,,,,,,,S,,S,S,
ERR040115,,,PRJEB2424,SAMEA787706,S,,,,,R,S,,R,S,,,,,,R,,R,R,
ERR040118,,,PRJEB2424,SAMEA787744,,,,,,S,,,S,,,,,,,S,,S,S,
ERR040119,,,PRJEB2424,SAMEA787750,S,,,,,R,S,,R,S,,,,S,,S,,R,S,
ERR040120,,,PRJEB2424,SAMEA787742,S,,,,,R,S,,R,S,,,,S,,R,,R,R,
ERR040123,,,PRJEB2424,SAMEA787745,,,,,,R,,,R,,,,,S,,R,,R,S,
ERR040124,,,PRJEB2424,SAMEA787746,S,,,,,R,S,,R,S,,,,S,,R,,R,R,
ERR040125,,,PRJEB2424,SAMEA787735,S,,,,,R,S,,R,S,,,,S,,R,,R,S,
ERR040126,,,PRJEB2424,SAMEA787736,S,,,,,R,S,,R,S,,,,S,,S,,R,S,
ERR040127,,,PRJEB2424,SAMEA787717,S,,,,,S,R,,R,S,,,,S,,S,,S,R,
ERR040128,,,PRJEB2424,SAMEA787716,S,,,,,R,S,,R,S,,,,S,,R,,R,R,
ERR040129,,,PRJEB2424,SAMEA787719,,,,,,R,,,R,,,,,S,,S,,S,S,
ERR040130,,,PRJEB2424,SAMEA787718,,,,,,R,,,R,,,,,S,,R,,R,R,
ERR040131,,,PRJEB2424,SAMEA787721,S,,,,,R,S,,R,S,,,,S,,S,,R,S,
ERR040132,,,PRJEB2424,SAMEA787720,S,,,,,S,S,,R,S,,,,S,,S,,R,S,
ERR040134,,,PRJEB2424,SAMEA787722,S,,,,,S,S,,R,S,,,,S,,S,,R,R,
ERR040135,,,PRJEB2424,SAMEA787713,S,,,,,R,S,,R,S,,,,S,,S,,R,R,
ERR040136,,,PRJEB2424,SAMEA787712,S,,,,,R,S,,R,S,,,,S,,S,,R,S,
ERR040137,,,PRJEB2424,SAMEA787733,S,,,,,R,S,,R,S,,,,S,,R,,R,R,
ERR040138,,,PRJEB2424,SAMEA787734,S,,,,,S,S,,R,S,,,,S,,S,,R,R,
ERR040140,,,PRJEB2424,SAMEA787731,S,,,,,R,S,,R,S,,,,R,,R,,R,R,
ERR040141,,,PRJEB2424,SAMEA787737,,,,,,R,,,R,,,,,S,,S,,R,R,
ERR040142,,,PRJEB2424,SAMEA787738,,,,,,R,,,R,,,,,S,,S,,R,S,
ERR046729,,,PRJEB2221,SAMEA1019200,,,,,,S,,,S,,,,,,,S,,S,,
ERR046730,,,PRJEB2221,SAMEA1019222,,S,,,,S,,,R,,,,,,,S,,S,,
ERR046732,,,PRJEB2221,SAMEA1019233,,,,,,S,,,S,,,,,,,S,,S,,
ERR046733,,,PRJEB2221,SAMEA1019256,,,,,,S,,,S,,,,,,,S,,S,,
ERR046734,,,PRJEB2221,SAMEA1019123,,,,,,S,,,S,,,,,,,S,,S,,
ERR046735,,,PRJEB2221,SAMEA1019273,,,,,,S,,,S,,,,,,,S,,S,,
ERR046736,,,PRJEB2221,SAMEA1019285,,,,,,S,,,S,,,,,,,S,,S,,
ERR046737,,,PRJEB2221,SAMEA1019305,,,,,,S,,,S,,,,,,,S,,S,,
ERR046738,,,PRJEB2221,SAMEA1019321,,,,,,S,,,S,,,,,,,S,,S,,
ERR046739,,,PRJEB2221,SAMEA1019324,,,,,,S,,,S,,,,,,,S,,S,,
ERR046741,,,PRJEB2221,SAMEA1019215,,,,,,S,,,S,,,,,,,S,,S,,
ERR046743,,,PRJEB2221,SAMEA1019251,,,,,,S,,,S,,,,,,,S,,S,,
ERR046744,,,PRJEB2221,SAMEA1019174,,,,,,S,,,S,,,,,,,S,,S,,
ERR046745,,,PRJEB2221,SAMEA1019139,,,,,,S,,,S,,,,,,,S,,S,,
ERR046746,,,PRJEB2221,SAMEA1019157,,,,,,S,,,S,,,,,,,S,,S,,
ERR046747,,,PRJEB2221,SAMEA1019118,,,,,,S,,,S,,,,,,,R,,S,,
ERR046748,,,PRJEB2221,SAMEA1019136,,,,,,S,,,S,,,,,,,R,,S,S,
ERR046749,,,PRJEB2221,SAMEA1019094,,,,,,S,,,S,,,,,,,R,,S,,
ERR046751,,,PRJEB2221,SAMEA1019101,,,,,,S,,,S,,,,,,,S,,S,,
ERR046752,,,PRJEB2221,SAMEA1019309,,,,,,S,,,S,,,,,,,S,,S,,
ERR046753,,,PRJEB2221,SAMEA1019322,,,,,,S,,,S,,,,,,,S,,S,,
ERR046754,,,PRJEB2221,SAMEA1019031,,,,,,S,,,S,,,,,,,S,,S,,
ERR046755,,,PRJEB2221,SAMEA1019011,,,,,,S,,,S,,,,,,,S,,S,,
ERR046756,,,PRJEB2221,SAMEA1018995,,,,,,S,,,S,,,,,,,S,,S,,
ERR046758,,,PRJEB2221,SAMEA1018967,,,,,,S,,,S,,,,,,,S,,S,,
ERR046759,,,PRJEB2221,SAMEA1019212,,,,,,S,,,S,,,,,,,S,,S,,
ERR046760,,,PRJEB2221,SAMEA1019189,,,,,,S,,,S,,,,,,,S,,S,,
ERR046761,,,PRJEB2221,SAMEA1019194,,,,,,S,,,S,,,,,,,S,,S,,
